Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;SanFrancisco4Classes;0;+ALL, nGrams: 2;Weighted Precision;0.883003;0
Boston;SanFrancisco4Classes;0;+ALL, nGrams: 2;Weighted Recall;0.891216;0
Boston;SanFrancisco4Classes;0;+ALL, nGrams: 2;Weighted F-Measure;0.882434;0
Boston;SanFrancisco4Classes;0;+LOC, nGrams: 2;Percent Correct;0.893243;0
Boston;SanFrancisco4Classes;0;+LOC, nGrams: 2;Weighted Precision;0.892248;0
Boston;SanFrancisco4Classes;0;+LOC, nGrams: 2;Weighted Recall;0.893243;0
Boston;SanFrancisco4Classes;0;+LOC, nGrams: 2;Weighted F-Measure;0.892172;0
Boston;SanFrancisco4Classes;0;+TIME, nGrams: 2;Percent Correct;0.902703;0
Boston;SanFrancisco4Classes;0;+TIME, nGrams: 2;Weighted Precision;0.902637;0
Boston;SanFrancisco4Classes;0;+TIME, nGrams: 2;Weighted Recall;0.902703;0
Boston;SanFrancisco4Classes;0;+TIME, nGrams: 2;Weighted F-Measure;0.897055;0
Boston;SanFrancisco4Classes;0;+LOD, nGrams: 2;Percent Correct;0.894595;0
Boston;SanFrancisco4Classes;0;+LOD, nGrams: 2;Weighted Precision;0.889755;0
Boston;SanFrancisco4Classes;0;+LOD, nGrams: 2;Weighted Recall;0.894595;0
Boston;SanFrancisco4Classes;0;+LOD, nGrams: 2;Weighted F-Measure;0.888334;0
Boston;SanFrancisco4Classes;0;+LOC+TIME, nGrams: 2;Percent Correct;0.898649;0
Boston;SanFrancisco4Classes;0;+LOC+TIME, nGrams: 2;Weighted Precision;0.899308;0
Boston;SanFrancisco4Classes;0;+LOC+TIME, nGrams: 2;Weighted Recall;0.898649;0
Boston;SanFrancisco4Classes;0;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.898585;0
Boston;SanFrancisco4Classes;0;+LOC+LOD, nGrams: 2;Percent Correct;0.890541;0
Boston;SanFrancisco4Classes;0;+LOC+LOD, nGrams: 2;Weighted Precision;0.885604;0
Boston;SanFrancisco4Classes;0;+LOC+LOD, nGrams: 2;Weighted Recall;0.890541;0
Boston;SanFrancisco4Classes;0;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.885912;0
Boston;SanFrancisco4Classes;0;+TIME+LOD, nGrams: 2;Percent Correct;0.902703;0
Boston;SanFrancisco4Classes;0;+TIME+LOD, nGrams: 2;Weighted Precision;0.903577;0
Boston;SanFrancisco4Classes;0;+TIME+LOD, nGrams: 2;Weighted Recall;0.902703;0
Boston;SanFrancisco4Classes;0;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.901842;0
Boston;SanFrancisco4Classes;0;+TYPES, nGrams: 2;Percent Correct;0.900676;0
Boston;SanFrancisco4Classes;0;+TYPES, nGrams: 2;Weighted Precision;0.898314;0
Boston;SanFrancisco4Classes;0;+TYPES, nGrams: 2;Weighted Recall;0.900676;0
Boston;SanFrancisco4Classes;0;+TYPES, nGrams: 2;Weighted F-Measure;0.895082;0
Boston;SanFrancisco4Classes;0;+CAT, nGrams: 2;Percent Correct;0.891892;0
Boston;SanFrancisco4Classes;0;+CAT, nGrams: 2;Weighted Precision;0.886482;0
Boston;SanFrancisco4Classes;0;+CAT, nGrams: 2;Weighted Recall;0.891892;0
Boston;SanFrancisco4Classes;0;+CAT, nGrams: 2;Weighted F-Measure;0.885052;0
Boston;London;0;Baseline, nGrams: 2;Percent Correct;0.917418;0
Boston;London;0;Baseline, nGrams: 2;Weighted Precision;0.911144;0
Boston;London;0;Baseline, nGrams: 2;Weighted Recall;0.917418;0
Boston;London;0;Baseline, nGrams: 2;Weighted F-Measure;0.906197;0
Boston;London;0;+ALL, nGrams: 2;Percent Correct;0.921582;0
Boston;London;0;+ALL, nGrams: 2;Weighted Precision;0.914253;0
Boston;London;0;+ALL, nGrams: 2;Weighted Recall;0.921582;0
Boston;London;0;+ALL, nGrams: 2;Weighted F-Measure;0.912290;0
Boston;London;0;+LOC, nGrams: 2;Percent Correct;0.919153;0
Boston;London;0;+LOC, nGrams: 2;Weighted Precision;0.913619;0
Boston;London;0;+LOC, nGrams: 2;Weighted Recall;0.919153;0
Boston;London;0;+LOC, nGrams: 2;Weighted F-Measure;0.911601;0
Boston;London;0;+TIME, nGrams: 2;Percent Correct;0.913602;0
Boston;London;0;+TIME, nGrams: 2;Weighted Precision;0.904196;0
Boston;London;0;+TIME, nGrams: 2;Weighted Recall;0.913602;0
Boston;London;0;+TIME, nGrams: 2;Weighted F-Measure;0.898402;0
Boston;London;0;+LOD, nGrams: 2;Percent Correct;0.912561;0
Boston;London;0;+LOD, nGrams: 2;Weighted Precision;0.903112;0
Boston;London;0;+LOD, nGrams: 2;Weighted Recall;0.912561;0
Boston;London;0;+LOD, nGrams: 2;Weighted F-Measure;0.901946;0
Boston;London;0;+LOC+TIME, nGrams: 2;Percent Correct;0.918806;0
Boston;London;0;+LOC+TIME, nGrams: 2;Weighted Precision;0.912518;0
Boston;London;0;+LOC+TIME, nGrams: 2;Weighted Recall;0.918806;0
Boston;London;0;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.911959;0
Boston;London;0;+LOC+LOD, nGrams: 2;Percent Correct;0.918459;0
Boston;London;0;+LOC+LOD, nGrams: 2;Weighted Precision;0.910826;0
Boston;London;0;+LOC+LOD, nGrams: 2;Weighted Recall;0.918459;0
Boston;London;0;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.912045;0
Boston;London;0;+TIME+LOD, nGrams: 2;Percent Correct;0.918459;0
Boston;London;0;+TIME+LOD, nGrams: 2;Weighted Precision;0.908807;0
Boston;London;0;+TIME+LOD, nGrams: 2;Weighted Recall;0.918459;0
Boston;London;0;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.910845;0
Boston;London;0;+TYPES, nGrams: 2;Percent Correct;0.921582;0
Boston;London;0;+TYPES, nGrams: 2;Weighted Precision;0.911672;0
Boston;London;0;+TYPES, nGrams: 2;Weighted Recall;0.921582;0
Boston;London;0;+TYPES, nGrams: 2;Weighted F-Measure;0.912394;0
Boston;London;0;+CAT, nGrams: 2;Percent Correct;0.925399;0
Boston;London;0;+CAT, nGrams: 2;Weighted Precision;0.922926;0
Boston;London;0;+CAT, nGrams: 2;Weighted Recall;0.925399;0
Boston;London;0;+CAT, nGrams: 2;Weighted F-Measure;0.914649;0
Boston;Sydney;0;Baseline, nGrams: 2;Percent Correct;0.877242;0
