Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;Seattle;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.791116;0
Boston;SanFrancisco;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.870541;0
Boston;SanFrancisco;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.863998;0
Boston;SanFrancisco;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.870541;0
Boston;SanFrancisco;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.862144;0
Boston;NYC;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.849059;0
Boston;NYC;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.844895;0
Boston;NYC;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.849059;0
Boston;NYC;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.830631;0
Boston;Dublin;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.940320;0
Boston;Dublin;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.932494;0
Boston;Dublin;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.940320;0
Boston;Dublin;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.933580;0
Boston;Chicago;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.917385;0
Boston;Chicago;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.914810;0
Boston;Chicago;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.917385;0
Boston;Chicago;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.912261;0
Boston;Memphis;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.818115;0
Boston;Memphis;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.819008;0
Boston;Memphis;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.818115;0
Boston;Memphis;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.811049;0
Boston;London;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.878438;0
Boston;London;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.879920;0
Boston;London;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.878438;0
Boston;London;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.858519;0
Boston;Sydney;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.857897;0
Boston;Sydney;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.869160;0
Boston;Sydney;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.857897;0
Boston;Sydney;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.845081;0
Boston;Brisbane;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.855818;0
Boston;Brisbane;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.857891;0
Boston;Brisbane;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.855818;0
Boston;Brisbane;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.838564;0
Boston;Seattle;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.739292;0
Boston;Seattle;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.739414;0
Boston;Seattle;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.739292;0
Boston;Seattle;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.718901;0
Boston;SanFrancisco;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.867568;0
Boston;SanFrancisco;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.861826;0
Boston;SanFrancisco;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.867568;0
Boston;SanFrancisco;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.859732;0
Boston;NYC;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.846692;0
Boston;NYC;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.837114;0
Boston;NYC;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.846692;0
Boston;NYC;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.829719;0
Boston;Dublin;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.938757;0
Boston;Dublin;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.932264;0
Boston;Dublin;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.938757;0
